Symbol, Revenues 2022, Revenues 2021, Revenues 2020, Revenues 2019,Emissions 2022,Emissions 2021,Emissions 2020,Emissions 2019,Total Esg,Environment Score,Social Score,Governance Score,Esg Performance
MMM,"$34,229,000,000","$35,355,000,000","$32,184,000,000","$32,136,000,000","6,640,426","6,858,870","6,243,696","6,234,384",33.61,12.33,13.56,7.72,Great
AOS,"$3,753,900,000","$3,538,900,000","$2,895,300,000","$2,992,700,000","728,257","686,547","561,688","580,584",25.43,7.29,11.87,6.27,Average
ABT,"$43,653,000,000","$43,075,000,000","$34,608,000,000","$31,904,000,000","305,571","301,525","242,256","223,328",24.98,3.03,13.59,8.36,Average
ABBV,"$58,054,000,000","$56,197,000,000","$45,804,000,000","$33,266,000,000","406,378","393,379","320,628","232,862",27.84,1.12,16.77,9.95,Average
ACN,"$64,111,745,000","$61,594,305,000","$50,533,389,000","$44,327,039,000","1,538,682","1,478,263","1,212,801","1,063,849",9.71,0.29,4.58,4.83,Bad
ADM,"$101,556,000,000","$85,249,000,000","$64,355,000,000","$64,656,000,000","9,140,040","7,672,410","5,791,950","5,819,040",36.4,18.23,13.16,5.01,Great
ADBE,"$17,606,000,000","$15,785,000,000","$12,868,000,000","$11,171,000,000","422,544","378,840","308,832","268,104",12.46,1.89,5.93,4.64,Bad
ADP,"$18,012,200,000","$16,498,300,000","$15,005,400,000","$14,589,800,000","432,293","395,959","360,130","350,155",13.97,1.07,6.96,5.94,Bad
AES,"$12,617,000,000","$11,141,000,000","$9,660,000,000","$10,189,000,000","33,233,178","29,345,394","25,444,440","26,837,826",34.15,16.48,11.2,6.47,Great
AFL,"$19,502,000,000","$22,106,000,000","$22,147,000,000","$22,307,000,000","370,538","420,014","420,793","423,833",17.3,0.47,7.26,9.57,Bad
A,"$6,848,000,000","$6,319,000,000","$5,339,000,000","$5,163,000,000","47,936","44,233","37,373","36,141",15.24,0.34,8.65,6.26,Bad
ABNB,"$8,399,000,000","$5,992,000,000","$3,378,000,000","$4,805,239,000","277,167","197,736","111,474","158,573",No fundamentals data found for any of the summaryTypes=esgScores,,,,
APD,"$12,698,600,000","$10,323,000,000","$8,856,300,000","$8,918,900,000","11,657,315","9,476,514","8,130,083","8,187,550",10.81,5.94,1.28,3.59,Bad
AKAM,"$3,616,654,000","$3,461,223,000","$3,198,149,000","$2,893,617,000","86,800","83,069","76,756","69,447",16.55,2.93,6.9,6.72,Bad
ALK,"$9,646,000,000","$6,176,000,000","$3,566,000,000","$8,781,000,000","1,871,324","1,198,144","691,804","1,703,514",No fundamentals data found for any of the summaryTypes=esgScores,,,,
ALB,"$7,320,104,000","$3,327,957,000","$3,128,909,000","$3,589,427,000","226,923","103,167","96,996","111,272",28.8,15.53,5.54,7.73,Average
ARE,"$2,589,607,000","$2,126,405,000","$1,893,785,000","$1,541,432,000","18,127","14,885","13,256","10,790",13.85,3.91,3.66,6.27,Bad
ALGN,"$3,734,635,000","$3,952,584,000","$2,471,941,000","$2,406,796,000","724,519","766,801","479,557","466,918",No fundamentals data found for any of the summaryTypes=esgScores,,,,
ALLE,"$3,271,900,000","$2,867,400,000","$2,719,900,000","$2,854,000,000","8,618,185","7,552,732","7,164,217","7,517,436",23.72,12.75,4.54,6.43,Average
LNT,"$4,205,000,000","$3,669,000,000","$3,416,000,000","$3,648,000,000","79,895","69,711","64,904","69,312",21.87,10.04,5.65,6.18,Average
ALL,"$51,412,000,000","$50,588,000,000","$41,909,000,000","$41,541,000,000","462,708","455,292","377,181","373,869",19.22,1.44,7.85,9.94,Bad
GOOGL,"$282,836,000,000","$257,637,000,000","$182,527,000,000","$161,857,000,000","2,545,524","2,318,733","1,642,743","1,456,713",24.14,1.66,11.1,11.39,Average
GOOG,"$282,836,000,000","$257,637,000,000","$182,527,000,000","$161,857,000,000","25,455,240","23,187,330","16,427,430","14,567,130",No fundamentals data found for any of the summaryTypes=esgScores,,,,
MO,"$20,688,000,000","$21,111,000,000","$20,841,000,000","$19,796,000,000","18,991,584","19,379,898","19,132,038","18,172,728",23.99,4.66,12.98,6.35,Average
AMZN,"$513,983,000,000","$469,822,000,000","$386,064,000,000","$280,522,000,000","12,335,592","11,275,728","9,265,536","6,732,528",30.28,5.59,14.8,9.89,Great
AMCR,"$14,694,000,000","$14,544,000,000","$12,861,000,000","$12,468,000,000","38,703,996","38,308,896","33,875,874","32,840,712",No fundamentals data found for any of the summaryTypes=esgScores,,,,
AMD,"$23,601,000,000","$16,434,000,000","$9,763,000,000","$6,731,000,000","4,578,594","3,188,196","1,894,022","1,305,814",No fundamentals data found for any of the summaryTypes=esgScores,,,,
AEE,"$7,662,000,000","$6,119,000,000","$5,540,000,000","$5,646,000,000","145,578","116,261","105,260","107,274",29.53,14.11,9.93,5.49,Average
AAL,"$48,971,000,000","$29,882,000,000","$17,337,000,000","$45,768,000,000","930,449","567,758","329,403","869,592",29.1,11.53,12.31,5.26,Average
AEP,"$19,639,500,000","$16,792,000,000","$14,918,500,000","$15,561,400,000","608,825","520,552","462,474","482,403",25.81,12.84,7.54,5.43,Average
AXP,"$50,680,000,000","$43,799,000,000","$31,357,000,000","$39,983,000,000","133,491,120","115,366,566","82,594,338","105,315,222",18.38,0.05,8.37,9.95,Bad
AIG,"$56,418,000,000","$52,049,000,000","$43,337,000,000","$49,317,000,000","1,071,942","988,931","823,403","937,023",25.32,1.87,9.67,13.79,Average
AMT,"$10,711,100,000","$9,356,900,000","$8,041,500,000","$7,580,300,000","2,077,953","1,815,239","1,560,051","1,470,578",10.94,2.36,3.56,5.02,Bad
AWK,"$3,792,000,000","$3,930,000,000","$3,777,000,000","$3,610,000,000","26,544","27,510","26,439","25,270",21.89,9.04,7.58,5.27,Average
AMP,"$14,347,000,000","$13,443,000,000","$11,958,000,000","$12,890,000,000","2,783,318","2,607,942","2,319,852","2,500,660",22.61,2.57,7.22,12.82,Average
AME,"$6,150,530,000","$5,546,514,000","$4,540,029,000","$5,158,557,000","147,613","133,116","108,961","123,805",24.08,8.65,8.51,6.92,Average
AMGN,"$26,323,000,000","$25,979,000,000","$25,424,000,000","$23,362,000,000","631,752","623,496","610,176","560,688",22.04,0.69,13.46,7.89,Average
APH,"$12,623,000,000","$10,876,300,000","$8,598,900,000","$8,225,400,000","239,837","206,650","163,379","156,283",21.35,8.04,5.49,7.81,Average
ADI,"$12,013,953,000","$7,318,286,000","$5,603,056,000","$5,991,065,000","6,859,967","4,178,741","3,199,345","3,420,898",23.78,10.13,7.74,5.9,Average
ANSS,"$2,065,553,000","$1,906,715,000","$1,681,297,000","$1,515,892,000","49,573","45,761","40,351","36,381",13.05,0.86,7.32,4.86,Bad
AON,"$12,479,000,000","$12,193,000,000","$11,066,000,000","$11,013,000,000","299,496","292,632","265,584","264,312",No fundamentals data found for any of the summaryTypes=esgScores,,,,
APA,"$10,960,000,000","$8,025,000,000","$4,393,000,000","$6,354,000,000","361,680","264,825","144,969","209,682",38.81,21.98,8.88,7.96,Great
AAPL,"$394,328,000,000","$365,817,000,000","$274,515,000,000","$260,174,000,000","7,492,232","6,950,523","5,215,785","4,943,306",16.68,0.65,6.86,9.18,Bad
AMAT,"$25,785,000,000","$23,063,000,000","$17,202,000,000","$14,608,000,000","618,840","553,512","412,848","350,592",11.56,3.84,2.62,5.1,Bad
APTV,"$17,489,000,000","$15,618,000,000","$13,066,000,000","$14,357,000,000","332,291","296,742","248,254","272,783",11.51,2.49,3.75,5.27,Bad
ACGL,"$9,614,808,000","$9,249,980,000","$8,508,509,000","$6,925,967,000","182,681","175,750","161,662","131,593",20.75,1.47,7.31,11.98,Average
ANET,"$4,381,310,000","$2,948,037,000","$2,317,512,000","$2,410,706,000","39,432","26,532","20,858","21,696",16.4,0.4,8.88,7.11,Bad
AJG,"$8,270,800,000","$7,974,400,000","$6,781,800,000","$6,894,200,000","21,785,287","21,004,570","17,863,261","18,159,323",21.28,0.11,10.7,10.47,Average
AIZ,"$10,193,000,000","$10,187,600,000","$9,597,600,000","$9,406,100,000","244,632","244,502","230,342","225,746",24.48,1.63,11.58,11.27,Average
T,"$120,741,000,000","$134,038,000,000","$143,050,000,000","$181,193,000,000","3,984,453","4,423,254","4,720,650","5,979,369",22.07,2.27,13.15,6.66,Average
ATO,"$4,201,662,000","$3,407,490,000","$2,821,137,000","$2,901,848,000","130,252","105,632","87,455","89,957",34.79,14.83,13.42,6.54,Great
ADSK,"$5,005,000,000","$4,386,000,000","$3,790,000,000","$3,274,300,000","4,594,590","4,026,348","3,479,220","3,005,807",16.05,3.41,8.19,4.44,Bad
AZO,"$17,457,209,000","$16,252,230,000","$14,629,585,000","$12,631,967,000","3,386,699","3,152,933","2,838,139","2,450,602",11.04,0.11,7.09,3.83,Bad
AVB,"$2,608,696,000","$2,310,130,000","$2,302,526,000","$2,327,490,000","1,489,565","1,319,084","1,314,742","1,328,997",10.53,2.95,3.02,4.56,Bad
AVY,"$9,039,300,000","$8,408,300,000","$6,971,500,000","$7,070,100,000","8,298,077","7,718,819","6,399,837","6,490,352",15.38,10.58,1.14,3.67,Bad
AXON,"$1,189,935,000","$863,381,000","$681,003,000","$530,860,000","22,609","16,404","12,939","10,086",No fundamentals data found for any of the summaryTypes=esgScores,,,,
BKR,"$21,156,000,000","$20,502,000,000","$20,705,000,000","$23,838,000,000","698,148","676,566","683,265","786,654",No fundamentals data found for any of the summaryTypes=esgScores,,,,
BALL,"$15,349,000,000","$13,811,000,000","$11,781,000,000","$11,474,000,000","107,443","96,677","82,467","80,318",10.81,5.92,1.11,3.79,Bad
BAC,"$92,407,000,000","$93,707,000,000","$74,208,000,000","$85,582,000,000","646,849","655,949","519,456","599,074",27.15,1.62,14.37,11.16,Average
BBWI,"$7,560,000,000","$7,882,000,000","$6,434,000,000","$5,405,000,000","143,640","149,758","122,246","102,695",15.5,2.59,8.43,4.48,Bad
BAX,"$15,113,000,000","$12,784,000,000","$11,673,000,000","$11,362,000,000","287,147","242,896","221,787","215,878",23.74,2.83,13.6,7.31,Average
BDX,"$18,870,000,000","$19,131,000,000","$16,074,000,000","$17,290,000,000","622,710","631,323","530,442","570,570",26.74,3.7,15.56,7.48,Average
WRB,"$11,166,499,000","$9,455,466,000","$8,098,925,000","$7,902,196,000","78,165","66,188","56,692","55,315",21.97,1.97,7.95,12.04,Average
BRK.B,#REF!,,,,#REF!,0,0,0,No fundamentals data found for any of the summaryTypes=esgScores,,,,
BBY,"$46,298,000,000","$51,761,000,000","$47,262,000,000","$43,638,000,000","324,086","362,327","330,834","305,466",14.15,2.22,7.19,4.75,Bad
BIO,"$2,802,249,000","$2,922,545,000","$2,545,626,000","$2,311,659,000","53,243","55,528","48,367","43,922",16.87,1.44,8.25,7.19,Bad
TECH,"$1,136,702,000","$1,105,599,000","$931,032,000","$738,691,000","21,597","21,006","17,690","14,035",No fundamentals data found for any of the summaryTypes=esgScores,,,,
BIIB,"$10,173,400,000","$10,981,700,000","$13,444,600,000","$14,377,900,000","193,295","208,652","255,447","273,180",21.05,0.02,13.22,7.81,Average
BLK,"$17,873,000,000","$19,374,000,000","$16,205,000,000","$14,539,000,000","3,467,362","3,758,556","3,143,770","2,820,566",20.57,1.49,9.61,9.48,Average
